Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_SCHEDULE,,,,2022-06-27 17:56:05,2022-06-27 17:56:23,18.394s,FAILED
,,,,,,,
Test Cases/SCHEDULE/GET ALL SCHEDULE/TCS02_GET WITHOUT TOKEN,,,,2022-06-27 17:56:05,2022-06-27 17:56:09,4.050s,PASSED
"Response = sendRequest(findTestObject(""API/SCHEDULE/GET ALL SCHEDULE/TCS02_GET SCHEDULE WITHOUT TOKEN""))",,,,2022-06-27 17:56:06,2022-06-27 17:56:09,3.190s,PASSED
"verifyResponseStatusCode(Response, Status_401)",,,,2022-06-27 17:56:09,2022-06-27 17:56:09,0.052s,PASSED
,,,,,,,
Test Cases/SCHEDULE/GET ALL SCHEDULE/TCS01_GET ALL SCHEDULE,,,,2022-06-27 17:56:09,2022-06-27 17:56:10,1.020s,FAILED
"Response = sendRequest(findTestObject(""API/SCHEDULE/GET ALL SCHEDULE/TCS01_GET VALID SCHEDULE""))",,,,2022-06-27 17:56:10,2022-06-27 17:56:10,0.432s,PASSED
"verifyResponseStatusCode(Response, Status_200)",,,,2022-06-27 17:56:10,2022-06-27 17:56:10,0.057s,FAILED
,,,,,,,
Test Cases/SCHEDULE/GET SCHEDULE BY ID/TCGS02_GET INVALID ID,,,,2022-06-27 17:56:10,2022-06-27 17:56:11,1.202s,PASSED
"Response = sendRequest(findTestObject(""API/SCHEDULE/GET SCHEDULE BY ID/TCGS02_GET ID WITH INVALID DATA""))",,,,2022-06-27 17:56:11,2022-06-27 17:56:11,0.669s,PASSED
"verifyResponseStatusCode(Response, Status_400)",,,,2022-06-27 17:56:11,2022-06-27 17:56:11,0.000s,PASSED
,,,,,,,
Test Cases/SCHEDULE/GET SCHEDULE BY ID/TCGS01_GET VALID DATA,,,,2022-06-27 17:56:11,2022-06-27 17:56:13,1.165s,FAILED
"Response = sendRequest(findTestObject(""API/SCHEDULE/GET SCHEDULE BY ID/TCGS01_GET ID WITH VALID DATA""))",,,,2022-06-27 17:56:12,2022-06-27 17:56:13,0.668s,PASSED
"verifyResponseStatusCode(Response, Status_200)",,,,2022-06-27 17:56:13,2022-06-27 17:56:13,0.017s,FAILED
,,,,,,,
Test Cases/SCHEDULE/CREATE SCHEDULE/TCNS03_CREATE WITHOUT REQ BODY,,,,2022-06-27 17:56:13,2022-06-27 17:56:14,1.279s,PASSED
"Response = sendRequest(findTestObject(""API/SCHEDULE/CREATE NEW SCHEDULE/TCNS03_Create without req body""))",,,,2022-06-27 17:56:13,2022-06-27 17:56:14,0.707s,PASSED
"verifyResponseStatusCode(Response, Status_400)",,,,2022-06-27 17:56:14,2022-06-27 17:56:14,0.000s,PASSED
,,,,,,,
Test Cases/SCHEDULE/CREATE SCHEDULE/TCNS02_CREATE WITHOUT TOKEN,,,,2022-06-27 17:56:14,2022-06-27 17:56:15,1.093s,PASSED
"Response = sendRequest(findTestObject(""API/SCHEDULE/CREATE NEW SCHEDULE/TCNS02_Create without token""))",,,,2022-06-27 17:56:14,2022-06-27 17:56:15,0.590s,PASSED
"verifyResponseStatusCode(Response, Status_401)",,,,2022-06-27 17:56:15,2022-06-27 17:56:15,0.000s,PASSED
,,,,,,,
Test Cases/SCHEDULE/CREATE SCHEDULE/TCNS01_CREATE NEW SCHEDULE,,,,2022-06-27 17:56:15,2022-06-27 17:56:16,1.127s,PASSED
"Response = sendRequest(findTestObject(""API/SCHEDULE/CREATE NEW SCHEDULE/TCNS01_Create with valid data""))",,,,2022-06-27 17:56:16,2022-06-27 17:56:16,0.455s,PASSED
"verifyResponseStatusCode(Response, Status_200)",,,,2022-06-27 17:56:16,2022-06-27 17:56:16,0.000s,PASSED
"verifyElementPropertyValue(Response, statuscreate, update_success)",,,,2022-06-27 17:56:16,2022-06-27 17:56:16,0.119s,PASSED
,,,,,,,
Test Cases/SCHEDULE/UPDATE SCHEDULE/TCUS04_UPDATE WITHOUT BODY,,,,2022-06-27 17:56:16,2022-06-27 17:56:17,0.908s,PASSED
"Response = sendRequest(findTestObject(""API/SCHEDULE/UPDATE SCHEDULE BY ID/TCUS04_UPDATE WITHOUT BODY""))",,,,2022-06-27 17:56:17,2022-06-27 17:56:17,0.411s,PASSED
"verifyResponseStatusCode(Response, Status_400)",,,,2022-06-27 17:56:17,2022-06-27 17:56:17,0.000s,PASSED
,,,,,,,
Test Cases/SCHEDULE/UPDATE SCHEDULE/TCUS03_UPDATE WITHOUT ID,,,,2022-06-27 17:56:17,2022-06-27 17:56:18,1.200s,PASSED
"Response = sendRequest(findTestObject(""API/SCHEDULE/UPDATE SCHEDULE BY ID/TCUS03_UPDATE WITHOUT ID""))",,,,2022-06-27 17:56:18,2022-06-27 17:56:18,0.651s,PASSED
"verifyResponseStatusCode(Response, Status_405)",,,,2022-06-27 17:56:18,2022-06-27 17:56:18,0.000s,PASSED
,,,,,,,
Test Cases/SCHEDULE/UPDATE SCHEDULE/TCUS02_UPDATE WITHOUT TOKEN,,,,2022-06-27 17:56:18,2022-06-27 17:56:19,0.847s,PASSED
"Response = sendRequest(findTestObject(""API/SCHEDULE/UPDATE SCHEDULE BY ID/TCUS02_UPDATE WITHOUT TOKEN""))",,,,2022-06-27 17:56:19,2022-06-27 17:56:19,0.362s,PASSED
"verifyResponseStatusCode(Response, Status_401)",,,,2022-06-27 17:56:19,2022-06-27 17:56:19,0.000s,PASSED
,,,,,,,
Test Cases/SCHEDULE/UPDATE SCHEDULE/TCUS01_UPDATE SCHEDULE BY ID,,,,2022-06-27 17:56:19,2022-06-27 17:56:20,0.939s,PASSED
"Response = sendRequest(findTestObject(""API/SCHEDULE/UPDATE SCHEDULE BY ID/TCUS01_UPDATE VALID DATA""))",,,,2022-06-27 17:56:20,2022-06-27 17:56:20,0.439s,PASSED
