Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_STOCK,,,,2022-06-29 20:49:44,2022-06-29 20:50:17,33.983s,FAILED
,,,,,,,
Test Cases/API/STOCK/CREATE STOCK/TCNST03_CREATE WITHOUT REQ BODY,,,,2022-06-29 20:49:44,2022-06-29 20:49:52,7.492s,PASSED
"Response = sendRequest(findTestObject(""API/STOCK/CREATE NEW STOCK/TCNST03_CREATE WITHOUT REQUEST BODY""))",,,,2022-06-29 20:49:46,2022-06-29 20:49:52,5.779s,PASSED
"verifyResponseStatusCode(Response, Status_400)",,,,2022-06-29 20:49:52,2022-06-29 20:49:52,0.051s,PASSED
,,,,,,,
Test Cases/API/STOCK/CREATE STOCK/TCNST02_CREATE WITHOUT TOKEN,,,,2022-06-29 20:49:52,2022-06-29 20:49:54,1.715s,PASSED
"Response = sendRequest(findTestObject(""API/STOCK/CREATE NEW STOCK/TCNST02_CREATE WITHOUT TOKEN""))",,,,2022-06-29 20:49:53,2022-06-29 20:49:54,0.751s,PASSED
"verifyResponseStatusCode(Response, Status_401)",,,,2022-06-29 20:49:54,2022-06-29 20:49:54,0.007s,PASSED
,,,,,,,
Test Cases/API/STOCK/CREATE STOCK/TCNST01_CREATE VALID STOCK,,,,2022-06-29 20:49:54,2022-06-29 20:49:55,1.688s,PASSED
"Response = sendRequest(findTestObject(""API/STOCK/CREATE NEW STOCK/TCNST01_CREATE STOCK""))",,,,2022-06-29 20:49:55,2022-06-29 20:49:55,0.612s,PASSED
"verifyResponseStatusCode(Response, Status_200)",,,,2022-06-29 20:49:55,2022-06-29 20:49:55,0.007s,PASSED
"verifyElementPropertyValue(Response, statuscreate, update_success)",,,,2022-06-29 20:49:55,2022-06-29 20:49:55,0.180s,PASSED
,,,,,,,
Test Cases/API/STOCK/GET ALL STOCK/TCST02_GET ALL WITHOUT TOKEN,,,,2022-06-29 20:49:55,2022-06-29 20:49:57,1.359s,PASSED
"Response = sendRequest(findTestObject(""API/STOCK/GET ALL STOCK/TCST02_GET WITHOUT TOKEN""))",,,,2022-06-29 20:49:56,2022-06-29 20:49:57,0.488s,PASSED
"verifyResponseStatusCode(Response, Status_401)",,,,2022-06-29 20:49:57,2022-06-29 20:49:57,0.007s,PASSED
,,,,,,,
Test Cases/API/STOCK/GET ALL STOCK/TCST01_GET ALL STOCK,,,,2022-06-29 20:49:57,2022-06-29 20:49:58,1.403s,PASSED
"Response = sendRequest(findTestObject(""API/STOCK/GET ALL STOCK/TCST01_GET ALL STOCK""))",,,,2022-06-29 20:49:58,2022-06-29 20:49:58,0.566s,PASSED
"verifyResponseStatusCode(Response, Status_200)",,,,2022-06-29 20:49:58,2022-06-29 20:49:58,0.005s,PASSED
,,,,,,,
Test Cases/API/STOCK/GET STOCK BY ID/TCGST02_GET INVALID ID,,,,2022-06-29 20:49:58,2022-06-29 20:50:00,1.654s,PASSED
"Response = sendRequest(findTestObject(""API/STOCK/GET STOCK BY ID/TCGST02_GET STOCK INVALID""))",,,,2022-06-29 20:49:59,2022-06-29 20:50:00,0.612s,PASSED
"verifyResponseStatusCode(Response, Status_400)",,,,2022-06-29 20:50:00,2022-06-29 20:50:00,0.004s,PASSED
,,,,,,,
Test Cases/API/STOCK/GET STOCK BY ID/TCGST01_GET VALID ID,,,,2022-06-29 20:50:00,2022-06-29 20:50:04,4.093s,FAILED
"Response = sendRequest(findTestObject(""API/STOCK/GET STOCK BY ID/TCGST01_GET STOCK VALID""))",,,,2022-06-29 20:50:01,2022-06-29 20:50:04,2.549s,PASSED
"verifyResponseStatusCode(Response, Status_200)",,,,2022-06-29 20:50:04,2022-06-29 20:50:04,0.070s,FAILED
,,,,,,,
Test Cases/API/STOCK/UPDATE STOCK/TCUST04_UPDATE WITHOUT BODY,,,,2022-06-29 20:50:04,2022-06-29 20:50:07,2.683s,PASSED
"Response = sendRequest(findTestObject(""API/STOCK/UPDATE STOCK/TCUS04_UPDATE WITHOUT BODY""))",,,,2022-06-29 20:50:05,2022-06-29 20:50:07,1.773s,PASSED
"verifyResponseStatusCode(Response, Status_400)",,,,2022-06-29 20:50:07,2022-06-29 20:50:07,0.011s,PASSED
,,,,,,,
Test Cases/API/STOCK/UPDATE STOCK/TCUST03_UPDATE WITHOUT ID,,,,2022-06-29 20:50:07,2022-06-29 20:50:09,2.068s,PASSED
"Response = sendRequest(findTestObject(""API/STOCK/UPDATE STOCK/TCUS03_UPDATE WITHOUT ID""))",,,,2022-06-29 20:50:08,2022-06-29 20:50:09,1.048s,PASSED
"verifyResponseStatusCode(Response, Status_400)",,,,2022-06-29 20:50:09,2022-06-29 20:50:09,0.004s,PASSED
,,,,,,,
Test Cases/API/STOCK/UPDATE STOCK/TCUST02_UPDATE WITHOUT TOKEN,,,,2022-06-29 20:50:09,2022-06-29 20:50:10,1.695s,PASSED
"Response = sendRequest(findTestObject(""API/STOCK/UPDATE STOCK/TCUS02_UPDATE WITHOUT TOKEN""))",,,,2022-06-29 20:50:10,2022-06-29 20:50:10,0.709s,PASSED
"verifyResponseStatusCode(Response, Status_401)",,,,2022-06-29 20:50:10,2022-06-29 20:50:10,0.005s,PASSED
,,,,,,,
Test Cases/API/STOCK/UPDATE STOCK/TCUST01_UPDATE STOCK,,,,2022-06-29 20:50:10,2022-06-29 20:50:12,1.454s,FAILED
"Response = sendRequest(findTestObject(""API/STOCK/UPDATE STOCK/TCUS01_UPDATE VALID DATA""))",,,,2022-06-29 20:50:11,2022-06-29 20:50:12,0.509s,PASSED
"verifyResponseStatusCode(Response, Status_200)",,,,2022-06-29 20:50:12,2022-06-29 20:50:12,0.009s,FAILED
,,,,,,,
Test Cases/API/STOCK/DELETE STOCK/TCDST_DELETE WITHOUT ID,,,,2022-06-29 20:50:12,2022-06-29 20:50:14,1.991s,PASSED
"Response = sendRequest(findTestObject(""API/STOCK/DELETE STOCK/TCDST03_WITHOUT ID""))",,,,2022-06-29 20:50:13,2022-06-29 20:50:14,0.762s,PASSED
"verifyResponseStatusCode(Response, Status_400)",,,,2022-06-29 20:50:14,2022-06-29 20:50:14,0.004s,PASSED
,,,,,,,
Test Cases/API/STOCK/DELETE STOCK/TCDST02_DELETE INVALID ID,,,,2022-06-29 20:50:14,2022-06-29 20:50:16,1.763s,FAILED
