Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_VACCINE,,,,2022-06-30 21:25:17,2022-06-30 21:25:43,26.707s,FAILED
,,,,,,,
Test Cases/API/VACCINE/CREATE VACCINE/TCNV03_CREATE WITHOUT REQ BODY,,,,2022-06-30 21:25:17,2022-06-30 21:25:24,6.551s,PASSED
"Response = sendRequest(findTestObject(""API/VACCINE/CREATE NEW VACCINE/TCV03_CREATE WITHOUT REQUEST BODY""))",,,,2022-06-30 21:25:18,2022-06-30 21:25:24,5.425s,PASSED
"verifyResponseStatusCode(Response, Status_400)",,,,2022-06-30 21:25:24,2022-06-30 21:25:24,0.078s,PASSED
,,,,,,,
Test Cases/API/VACCINE/CREATE VACCINE/TCNV02_CREATE WITHOUT TOKEN,,,,2022-06-30 21:25:24,2022-06-30 21:25:26,1.913s,PASSED
"Response = sendRequest(findTestObject(""API/VACCINE/CREATE NEW VACCINE/TCNV02_CREATE WITHOUT TOKEN""))",,,,2022-06-30 21:25:25,2022-06-30 21:25:26,0.844s,PASSED
"verifyResponseStatusCode(Response, Status_401)",,,,2022-06-30 21:25:26,2022-06-30 21:25:26,0.012s,PASSED
,,,,,,,
Test Cases/API/VACCINE/CREATE VACCINE/TCNV01_CREATE VALID VACCINE,,,,2022-06-30 21:25:26,2022-06-30 21:25:28,1.864s,PASSED
"Response = sendRequest(findTestObject(""API/VACCINE/CREATE NEW VACCINE/TCNV01_CREATE VACCINE""))",,,,2022-06-30 21:25:27,2022-06-30 21:25:28,0.704s,PASSED
"verifyResponseStatusCode(Response, Status_200)",,,,2022-06-30 21:25:28,2022-06-30 21:25:28,0.015s,PASSED
"verifyElementPropertyValue(Response, statuscreate, update_success)",,,,2022-06-30 21:25:28,2022-06-30 21:25:28,0.283s,PASSED
,,,,,,,
Test Cases/API/VACCINE/GET ALL VACCINE/TCV02_GET ALL WITHOUT TOKEN,,,,2022-06-30 21:25:28,2022-06-30 21:25:29,1.250s,PASSED
"Response = sendRequest(findTestObject(""API/VACCINE/GET ALL VACCINE/TCV02_GET WITHOUT TOKEN""))",,,,2022-06-30 21:25:29,2022-06-30 21:25:29,0.452s,PASSED
"verifyResponseStatusCode(Response, Status_401)",,,,2022-06-30 21:25:29,2022-06-30 21:25:29,0.020s,PASSED
,,,,,,,
Test Cases/API/VACCINE/GET ALL VACCINE/TCV01_GET ALL VACCINE,,,,2022-06-30 21:25:29,2022-06-30 21:25:31,1.624s,PASSED
