Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_BOOKING,,,,2022-06-30 21:35:15,2022-06-30 21:35:43,27.705s,PASSED
,,,,,,,
Test Cases/API/BOOKING/CREATE NEW BOOKING/TCNB03_WITHOUT BODY,,,,2022-06-30 21:35:16,2022-06-30 21:35:21,5.588s,PASSED
"Response = sendRequest(findTestObject(""API/BOOKING/CREATE BOOKING/TCNB03_CREATE BOOKING WITHOUT REQ BODY""))",,,,2022-06-30 21:35:17,2022-06-30 21:35:21,4.631s,PASSED
"verifyResponseStatusCode(Response, Status_400)",,,,2022-06-30 21:35:21,2022-06-30 21:35:21,0.067s,PASSED
,,,,,,,
Test Cases/API/BOOKING/CREATE NEW BOOKING/TCNB02_WITHOUT TOKEN,,,,2022-06-30 21:35:21,2022-06-30 21:35:23,1.955s,PASSED
"Response = sendRequest(findTestObject(""API/BOOKING/CREATE BOOKING/TCNB02_CREATE BOOKING WITHOUT TOKEN""))",,,,2022-06-30 21:35:22,2022-06-30 21:35:23,1.056s,PASSED
"verifyResponseStatusCode(Response, Status_401)",,,,2022-06-30 21:35:23,2022-06-30 21:35:23,0.055s,PASSED
,,,,,,,
Test Cases/API/BOOKING/CREATE NEW BOOKING/TCNB01_VALID DATA,,,,2022-06-30 21:35:23,2022-06-30 21:35:25,1.740s,PASSED
"Response = sendRequest(findTestObject(""API/BOOKING/CREATE BOOKING/TCNB01_CREATE BOOKING WITH VALID DATA""))",,,,2022-06-30 21:35:24,2022-06-30 21:35:25,0.860s,PASSED
"verifyResponseStatusCode(Response, Status_200)",,,,2022-06-30 21:35:25,2022-06-30 21:35:25,0.020s,PASSED
,,,,,,,
Test Cases/API/BOOKING/GET ALL BOOKING/TCB02_GET ALL BOOKING WITHOUT TOKEN,,,,2022-06-30 21:35:25,2022-06-30 21:35:27,1.592s,PASSED
"Response = sendRequest(findTestObject(""API/BOOKING/GET ALL BOOKING/NEGATIF GET ALL BOOKING WITHOUT TOKEN""))",,,,2022-06-30 21:35:26,2022-06-30 21:35:27,0.663s,PASSED
"verifyResponseStatusCode(Response, Status_401)",,,,2022-06-30 21:35:27,2022-06-30 21:35:27,0.035s,PASSED
,,,,,,,
Test Cases/API/BOOKING/GET ALL BOOKING/TCB01_GET ALL BOOKING,,,,2022-06-30 21:35:27,2022-06-30 21:35:28,1.481s,PASSED
"Response = sendRequest(findTestObject(""API/BOOKING/GET ALL BOOKING/POSITIF GET ALL BOOKING""))",,,,2022-06-30 21:35:28,2022-06-30 21:35:28,0.578s,PASSED
"verifyResponseStatusCode(Response, Status_200)",,,,2022-06-30 21:35:28,2022-06-30 21:35:28,0.021s,PASSED
,,,,,,,
Test Cases/API/BOOKING/GET BOOKING BY ID/TCGB02_GET BOOKING INVALID ID,,,,2022-06-30 21:35:28,2022-06-30 21:35:30,1.741s,PASSED
"Response = sendRequest(findTestObject(""API/BOOKING/GET BOOKING BY ID/NEGATIF GET BOOKING ID""))",,,,2022-06-30 21:35:29,2022-06-30 21:35:30,0.662s,PASSED
"verifyResponseStatusCode(Response, Status_500)",,,,2022-06-30 21:35:30,2022-06-30 21:35:30,0.019s,PASSED
,,,,,,,
Test Cases/API/BOOKING/GET BOOKING BY ID/TCGB01_GET BOOKING ID,,,,2022-06-30 21:35:30,2022-06-30 21:35:32,1.891s,PASSED
"Response = sendRequest(findTestObject(""API/BOOKING/GET BOOKING BY ID/POSITIF GET BOOKING ID""))",,,,2022-06-30 21:35:31,2022-06-30 21:35:32,0.958s,PASSED
"verifyResponseStatusCode(Response, Status_200)",,,,2022-06-30 21:35:32,2022-06-30 21:35:32,0.015s,PASSED
,,,,,,,
Test Cases/API/BOOKING/UPDATE BOOKING/TCUB04_WITHOUT BODY,,,,2022-06-30 21:35:32,2022-06-30 21:35:34,1.556s,PASSED
"Response = sendRequest(findTestObject(""API/BOOKING/UPDATE BOOKING BY ID/TCUB04_UPDATE BOOKING WITHOUT REQ BODY""))",,,,2022-06-30 21:35:33,2022-06-30 21:35:34,0.569s,PASSED
"verifyResponseStatusCode(Response, Status_400)",,,,2022-06-30 21:35:34,2022-06-30 21:35:34,0.023s,PASSED
,,,,,,,
Test Cases/API/BOOKING/UPDATE BOOKING/TCUB03_WITHOUT ID,,,,2022-06-30 21:35:34,2022-06-30 21:35:36,2.341s,PASSED
"Response = sendRequest(findTestObject(""API/BOOKING/UPDATE BOOKING BY ID/TCUB03_UPDATE BOOKING WITHOUT ID""))",,,,2022-06-30 21:35:35,2022-06-30 21:35:36,1.170s,PASSED
"verifyResponseStatusCode(Response, Status_405)",,,,2022-06-30 21:35:36,2022-06-30 21:35:36,0.010s,PASSED
,,,,,,,
Test Cases/API/BOOKING/UPDATE BOOKING/TCUB02_WITHOUT TOKEN,,,,2022-06-30 21:35:36,2022-06-30 21:35:38,1.494s,PASSED
"Response = sendRequest(findTestObject(""API/BOOKING/UPDATE BOOKING BY ID/TCUB02_UPDATE BOOKING WITHOUT TOKEN""))",,,,2022-06-30 21:35:37,2022-06-30 21:35:38,0.607s,PASSED
"verifyResponseStatusCode(Response, Status_401)",,,,2022-06-30 21:35:38,2022-06-30 21:35:38,0.018s,PASSED
,,,,,,,
Test Cases/API/BOOKING/UPDATE BOOKING/TCUB01_VALID DATA,,,,2022-06-30 21:35:38,2022-06-30 21:35:39,1.878s,PASSED
"Response = sendRequest(findTestObject(""API/BOOKING/UPDATE BOOKING BY ID/TCUB01_UPDATE BOOKING""))",,,,2022-06-30 21:35:38,2022-06-30 21:35:39,0.714s,PASSED
"verifyResponseStatusCode(Response, Status_200)",,,,2022-06-30 21:35:39,2022-06-30 21:35:39,0.020s,PASSED
"verifyElementPropertyValue(Response, ""status.message"", update_success)",,,,2022-06-30 21:35:39,2022-06-30 21:35:39,0.309s,PASSED
,,,,,,,
Test Cases/API/BOOKING/COUNT BOOKING/TC01_COUNT BY SCHEDULE ID,,,,2022-06-30 21:35:39,2022-06-30 21:35:41,1.481s,PASSED
"Response = sendRequest(findTestObject(""API/BOOKING/COUNT BOOKING/TCC01_BY SCHEDULE ID""))",,,,2022-06-30 21:35:40,2022-06-30 21:35:41,0.707s,PASSED
"verifyResponseStatusCode(Response, Status_200)",,,,2022-06-30 21:35:41,2022-06-30 21:35:41,0.020s,PASSED
,,,,,,,
Test Cases/API/BOOKING/COUNT BOOKING/TC02_COUNT WITHOUT SCHEDULE,,,,2022-06-30 21:35:41,2022-06-30 21:35:43,1.853s,PASSED
"Response = sendRequest(findTestObject(""API/BOOKING/COUNT BOOKING/TCC02_WITHOUT SCHEDULE""))",,,,2022-06-30 21:35:42,2022-06-30 21:35:43,0.682s,PASSED
"verifyResponseStatusCode(Response, Status_400)",,,,2022-06-30 21:35:43,2022-06-30 21:35:43,0.015s,PASSED
