Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_FACILITY,,,,2022-06-30 22:02:46,2022-06-30 22:03:09,22.840s,PASSED
,,,,,,,
Test Cases/API/FACILITY/CREATE FACILITY/TCNH03_CREATE WITHOUT REQ BODY,,,,2022-06-30 22:02:46,2022-06-30 22:02:52,6.037s,PASSED
"Response = sendRequest(findTestObject(""API/FACILITY/CREATE NEW FACILITY/TCNH03_CREATE WITHOUT REQUEST BODY""))",,,,2022-06-30 22:02:47,2022-06-30 22:02:52,5.040s,PASSED
"verifyResponseStatusCode(Response, Status_400)",,,,2022-06-30 22:02:52,2022-06-30 22:02:52,0.044s,PASSED
,,,,,,,
Test Cases/API/FACILITY/CREATE FACILITY/TCNH02_CREATE WITHOUT TOKEN,,,,2022-06-30 22:02:52,2022-06-30 22:02:55,2.433s,PASSED
"Response = sendRequest(findTestObject(""API/FACILITY/CREATE NEW FACILITY/TCNH02_CREATE WITHOUT TOKEN""))",,,,2022-06-30 22:02:53,2022-06-30 22:02:55,1.538s,PASSED
"verifyResponseStatusCode(Response, Status_401)",,,,2022-06-30 22:02:55,2022-06-30 22:02:55,0.003s,PASSED
,,,,,,,
Test Cases/API/FACILITY/CREATE FACILITY/TCNH01_CREATE VALID FACILITY,,,,2022-06-30 22:02:55,2022-06-30 22:02:57,2.125s,PASSED
"Response = sendRequest(findTestObject(""API/FACILITY/CREATE NEW FACILITY/TCNH01_CREATE FACILITY""))",,,,2022-06-30 22:02:56,2022-06-30 22:02:57,0.882s,PASSED
"verifyResponseStatusCode(Response, Status_200)",,,,2022-06-30 22:02:57,2022-06-30 22:02:57,0.021s,PASSED
"verifyElementPropertyValue(Response, statuscreate, update_success)",,,,2022-06-30 22:02:57,2022-06-30 22:02:57,0.275s,PASSED
,,,,,,,
Test Cases/API/FACILITY/UPDATE FACILITY/TCUH04_UPDATE WITHOUT BODY,,,,2022-06-30 22:02:57,2022-06-30 22:02:58,1.549s,PASSED
"Response = sendRequest(findTestObject(""API/FACILITY/UPDATE FACILITY/TCUH04_UPDATE WITHOUT BODY""))",,,,2022-06-30 22:02:58,2022-06-30 22:02:58,0.693s,PASSED
"verifyResponseStatusCode(Response, Status_400)",,,,2022-06-30 22:02:58,2022-06-30 22:02:58,0.020s,PASSED
,,,,,,,
Test Cases/API/FACILITY/UPDATE FACILITY/TCUH03_UPDATE WITHOUT ID,,,,2022-06-30 22:02:59,2022-06-30 22:03:02,3.141s,PASSED
"Response = sendRequest(findTestObject(""API/FACILITY/UPDATE FACILITY/TCUH03_UPDATE WITHOUT ID""))",,,,2022-06-30 22:02:59,2022-06-30 22:03:02,2.201s,PASSED
"verifyResponseStatusCode(Response, Status_405)",,,,2022-06-30 22:03:02,2022-06-30 22:03:02,0.016s,PASSED
,,,,,,,
Test Cases/API/FACILITY/UPDATE FACILITY/TCUH02_UPDATE WITHOUT TOKEN,,,,2022-06-30 22:03:02,2022-06-30 22:03:03,1.524s,PASSED
"Response = sendRequest(findTestObject(""API/FACILITY/UPDATE FACILITY/TCUH02_UPDATE WITHOUT TOKEN""))",,,,2022-06-30 22:03:03,2022-06-30 22:03:03,0.630s,PASSED
"verifyResponseStatusCode(Response, Status_401)",,,,2022-06-30 22:03:03,2022-06-30 22:03:03,0.007s,PASSED
,,,,,,,
Test Cases/API/FACILITY/UPDATE FACILITY/TCUH01_UPDATE FACILITY,,,,2022-06-30 22:03:03,2022-06-30 22:03:05,1.669s,PASSED
"Response = sendRequest(findTestObject(""API/FACILITY/UPDATE FACILITY/TCUH01_UPDATE VALID DATA""))",,,,2022-06-30 22:03:04,2022-06-30 22:03:05,0.560s,PASSED
"verifyResponseStatusCode(Response, Status_200)",,,,2022-06-30 22:03:05,2022-06-30 22:03:05,0.005s,PASSED
"verifyElementPropertyValue(Response, statuscreate, update_success)",,,,2022-06-30 22:03:05,2022-06-30 22:03:05,0.065s,PASSED
,,,,,,,
Test Cases/API/FACILITY/GET ALL FACILITY/TCH02_GET ALL WITHOUT TOKEN,,,,2022-06-30 22:03:05,2022-06-30 22:03:07,1.593s,PASSED
"Response = sendRequest(findTestObject(""API/FACILITY/GET ALL FACILITY/TCHF02_GET WITHOUT TOKEN""))",,,,2022-06-30 22:03:06,2022-06-30 22:03:07,0.640s,PASSED
"verifyResponseStatusCode(Response, Status_401)",,,,2022-06-30 22:03:07,2022-06-30 22:03:07,0.010s,PASSED
,,,,,,,
Test Cases/API/FACILITY/GET ALL FACILITY/TCH01_GET ALL FACILITY,,,,2022-06-30 22:03:07,2022-06-30 22:03:09,1.898s,PASSED
"Response = sendRequest(findTestObject(""API/FACILITY/GET ALL FACILITY/TCHF01_GET ALL FACILITY""))",,,,2022-06-30 22:03:08,2022-06-30 22:03:08,0.774s,PASSED
"verifyResponseStatusCode(Response, Status_200)",,,,2022-06-30 22:03:08,2022-06-30 22:03:09,0.012s,PASSED
