Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_DETAIL BOOKING,,,,2022-06-30 23:07:45,2022-06-30 23:08:00,15.891s,FAILED
,,,,,,,
Test Cases/API/DETAIL BOOKING/CREATE NEW DETAIL/TCCB03_WITHOUT BODY,,,,2022-06-30 23:07:45,2022-06-30 23:07:49,4.156s,PASSED
"Response = sendRequest(findTestObject(""API/DETAIL BOOKING/CREATE DETAIL BOOKING/TCCB03_CREATE DETAIL WITHOUT REQ BODY""))",,,,2022-06-30 23:07:46,2022-06-30 23:07:49,3.350s,PASSED
"verifyResponseStatusCode(Response, Status_400)",,,,2022-06-30 23:07:49,2022-06-30 23:07:49,0.028s,PASSED
,,,,,,,
Test Cases/API/DETAIL BOOKING/CREATE NEW DETAIL/TCCB02_WITHOUT TOKEN,,,,2022-06-30 23:07:49,2022-06-30 23:07:50,1.152s,PASSED
"Response = sendRequest(findTestObject(""API/DETAIL BOOKING/CREATE DETAIL BOOKING/TCCB02_CREATE DETAIL WITHOUT TOKEN""))",,,,2022-06-30 23:07:50,2022-06-30 23:07:50,0.649s,PASSED
"verifyResponseStatusCode(Response, Status_401)",,,,2022-06-30 23:07:50,2022-06-30 23:07:50,0.005s,PASSED
,,,,,,,
Test Cases/API/DETAIL BOOKING/CREATE NEW DETAIL/TCCB01_VALID DATA,,,,2022-06-30 23:07:50,2022-06-30 23:07:52,1.108s,FAILED
"Response = sendRequest(findTestObject(""API/DETAIL BOOKING/CREATE DETAIL BOOKING/TCCB01_CREATE DETAIL WITH VALID DATA""))",,,,2022-06-30 23:07:51,2022-06-30 23:07:51,0.486s,PASSED
"verifyResponseStatusCode(Response, Status_200)",,,,2022-06-30 23:07:51,2022-06-30 23:07:52,0.056s,FAILED
,,,,,,,
Test Cases/API/DETAIL BOOKING/UPDATE DETAIL BOOKING/TCUD04_WITHOUT BODY,,,,2022-06-30 23:07:52,2022-06-30 23:07:53,1.186s,PASSED
"Response = sendRequest(findTestObject(""API/DETAIL BOOKING/UPDATE DETAIL BY ID/TCUD04_UPDATE WITHOUT REQ BODY""))",,,,2022-06-30 23:07:52,2022-06-30 23:07:53,0.680s,PASSED
"verifyResponseStatusCode(Response, Status_400)",,,,2022-06-30 23:07:53,2022-06-30 23:07:53,0.008s,PASSED
,,,,,,,
Test Cases/API/DETAIL BOOKING/UPDATE DETAIL BOOKING/TCUD03_WITHOUT ID,,,,2022-06-30 23:07:53,2022-06-30 23:07:54,1.303s,PASSED
"Response = sendRequest(findTestObject(""API/DETAIL BOOKING/UPDATE DETAIL BY ID/TCUD03_UPDATE WITHOUT ID""))",,,,2022-06-30 23:07:53,2022-06-30 23:07:54,0.701s,PASSED
"verifyResponseStatusCode(Response, Status_400)",,,,2022-06-30 23:07:54,2022-06-30 23:07:54,0.005s,PASSED
,,,,,,,
Test Cases/API/DETAIL BOOKING/UPDATE DETAIL BOOKING/TCUD02_WITHOUT TOKEN,,,,2022-06-30 23:07:54,2022-06-30 23:07:55,1.154s,PASSED
"Response = sendRequest(findTestObject(""API/DETAIL BOOKING/UPDATE DETAIL BY ID/TCUD02_UPDATE WITHOUT TOKEN""))",,,,2022-06-30 23:07:55,2022-06-30 23:07:55,0.626s,PASSED
"verifyResponseStatusCode(Response, Status_401)",,,,2022-06-30 23:07:55,2022-06-30 23:07:55,0.004s,PASSED
,,,,,,,
Test Cases/API/DETAIL BOOKING/UPDATE DETAIL BOOKING/TCUD01_VALID DATA,,,,2022-06-30 23:07:55,2022-06-30 23:07:56,1.073s,PASSED
"Response = sendRequest(findTestObject(""API/DETAIL BOOKING/UPDATE DETAIL BY ID/TCUD01_UPDATE DETAIL""))",,,,2022-06-30 23:07:56,2022-06-30 23:07:56,0.454s,PASSED
"verifyResponseStatusCode(Response, Status_200)",,,,2022-06-30 23:07:56,2022-06-30 23:07:56,0.006s,PASSED
"verifyElementPropertyValue(Response, ""status.message"", update_success)",,,,2022-06-30 23:07:56,2022-06-30 23:07:56,0.099s,PASSED
,,,,,,,
Test Cases/API/DETAIL BOOKING/GET DETAIL BY ID/TCSB02_GET DETAIL INVALID ID,,,,2022-06-30 23:07:56,2022-06-30 23:07:57,1.095s,PASSED
