Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_ALL,,,,2022-07-04 21:06:09,2022-07-04 21:07:57,1m - 47.417s,FAILED
,,,,,,,
Test Cases/API/VACCINE/CREATE VACCINE/TCNV03_CREATE WITHOUT REQ BODY,,,,2022-07-04 21:06:10,2022-07-04 21:06:15,5.467s,PASSED
"Response = sendRequest(findTestObject(""API/VACCINE/CREATE NEW VACCINE/TCV03_CREATE WITHOUT REQUEST BODY""))",,,,2022-07-04 21:06:11,2022-07-04 21:06:15,4.633s,PASSED
"verifyResponseStatusCode(Response, Status_400)",,,,2022-07-04 21:06:15,2022-07-04 21:06:15,0.046s,PASSED
,,,,,,,
Test Cases/API/VACCINE/CREATE VACCINE/TCNV02_CREATE WITHOUT TOKEN,,,,2022-07-04 21:06:15,2022-07-04 21:06:17,1.385s,PASSED
"Response = sendRequest(findTestObject(""API/VACCINE/CREATE NEW VACCINE/TCNV02_CREATE WITHOUT TOKEN""))",,,,2022-07-04 21:06:16,2022-07-04 21:06:17,0.659s,PASSED
"verifyResponseStatusCode(Response, Status_401)",,,,2022-07-04 21:06:17,2022-07-04 21:06:17,0.000s,PASSED
,,,,,,,
Test Cases/API/VACCINE/GET ALL VACCINE/TCV02_GET ALL WITHOUT TOKEN,,,,2022-07-04 21:06:17,2022-07-04 21:06:18,1.041s,PASSED
"Response = sendRequest(findTestObject(""API/VACCINE/GET ALL VACCINE/TCV02_GET WITHOUT TOKEN""))",,,,2022-07-04 21:06:17,2022-07-04 21:06:18,0.393s,PASSED
"verifyResponseStatusCode(Response, Status_401)",,,,2022-07-04 21:06:18,2022-07-04 21:06:18,0.000s,PASSED
,,,,,,,
Test Cases/API/VACCINE/GET ALL VACCINE/TCV01_GET ALL VACCINE,,,,2022-07-04 21:06:18,2022-07-04 21:06:19,1.171s,PASSED
"Response = sendRequest(findTestObject(""API/VACCINE/GET ALL VACCINE/TCV01_GET ALL VACCINE""))",,,,2022-07-04 21:06:19,2022-07-04 21:06:19,0.483s,PASSED
"verifyResponseStatusCode(Response, Status_200)",,,,2022-07-04 21:06:19,2022-07-04 21:06:19,0.016s,PASSED
,,,,,,,
Test Cases/API/VACCINE/CREATE VACCINE/TCNV01_CREATE VALID VACCINE,,,,2022-07-04 21:06:19,2022-07-04 21:06:20,1.243s,FAILED
"Response = sendRequest(findTestObject(""API/VACCINE/CREATE NEW VACCINE/TCNV01_CREATE VACCINE""))",,,,2022-07-04 21:06:20,2022-07-04 21:06:20,0.613s,PASSED
"verifyResponseStatusCode(Response, Status_200)",,,,2022-07-04 21:06:20,2022-07-04 21:06:20,0.071s,FAILED
,,,,,,,
Test Cases/API/VACCINE/GET VACCINE BY ID/TCGV02_GET INVALID ID,,,,2022-07-04 21:06:20,2022-07-04 21:06:22,1.287s,PASSED
