Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_KELOLA SESI,Chrome 103.0.5060.114,,,2022-07-20 10:57:16,2022-07-20 10:59:14,1m - 57.835s,PASSED
,,,,,,,
Test Cases/ADMIN/AUTH/Positif/TC_LoginPositif,Chrome 103.0.5060.114,,,2022-07-20 10:57:16,2022-07-20 10:57:29,12.802s,PASSED
"openBrowser(""https://dev-getvaccine-16.netlify.app/admin/"")",Chrome 103.0.5060.114,,,2022-07-20 10:57:17,2022-07-20 10:57:23,6.635s,PASSED
maximizeWindow(),Chrome 103.0.5060.114,,,2022-07-20 10:57:23,2022-07-20 10:57:24,0.956s,PASSED
"verifyElementPresent(findTestObject(""ADMIN/Adm-Login/verify login page""), 0)",Chrome 103.0.5060.114,,,2022-07-20 10:57:24,2022-07-20 10:57:25,0.576s,PASSED
"click(findTestObject(""ADMIN/Adm-Login/username""))",Chrome 103.0.5060.114,,,2022-07-20 10:57:25,2022-07-20 10:57:26,0.553s,PASSED
"setText(findTestObject(""ADMIN/Adm-Login/username""), ""harnanda"")",Chrome 103.0.5060.114,,,2022-07-20 10:57:26,2022-07-20 10:57:26,0.921s,PASSED
"click(findTestObject(""ADMIN/Adm-Login/password""))",Chrome 103.0.5060.114,,,2022-07-20 10:57:26,2022-07-20 10:57:27,0.501s,PASSED
"setText(findTestObject(""ADMIN/Adm-Login/password""), ""haha"")",Chrome 103.0.5060.114,,,2022-07-20 10:57:27,2022-07-20 10:57:28,0.846s,PASSED
"click(findTestObject(""ADMIN/Adm-Login/eye""))",Chrome 103.0.5060.114,,,2022-07-20 10:57:28,2022-07-20 10:57:28,0.548s,PASSED
"click(findTestObject(""ADMIN/Adm-Login/btn login""))",Chrome 103.0.5060.114,,,2022-07-20 10:57:28,2022-07-20 10:57:29,0.612s,PASSED
,,,,,,,
Test Cases/ADMIN/KELOLA SESI/Negatif/TCT01_Tambah Sesi Without fill one field,Chrome 103.0.5060.114,,,2022-07-20 10:57:29,2022-07-20 10:57:42,12.547s,PASSED
"click(findTestObject(""Page_Dashboard Admin  GetVaccine/a_Overview""))",Chrome 103.0.5060.114,,,2022-07-20 10:57:30,2022-07-20 10:57:31,1.267s,PASSED
"click(findTestObject(""Object Repository/ADMIN/Page_Dashboard Admin  GetVaccine/a_Kelola Sesi""))",Chrome 103.0.5060.114,,,2022-07-20 10:57:31,2022-07-20 10:57:32,0.537s,PASSED
"click(findTestObject(""Object Repository/ADMIN/Page_Kelola Sesi  GetVaccine/button_Tambah Data""))",Chrome 103.0.5060.114,,,2022-07-20 10:57:32,2022-07-20 10:57:33,1.126s,PASSED
"click(findTestObject(""Object Repository/ADMIN/Page_Kelola Sesi  GetVaccine/div_MODERNA""))",Chrome 103.0.5060.114,,,2022-07-20 10:57:33,2022-07-20 10:57:35,2.604s,PASSED
"click(findTestObject(""Object Repository/ADMIN/Page_Kelola Sesi  GetVaccine/input_Tanggal Sesi_vaccination_date""))",Chrome 103.0.5060.114,,,2022-07-20 10:57:35,2022-07-20 10:57:36,0.602s,PASSED
"click(findTestObject(""Object Repository/ADMIN/Page_Kelola Sesi  GetVaccine/div_20""))",Chrome 103.0.5060.114,,,2022-07-20 10:57:36,2022-07-20 10:57:37,0.660s,PASSED
"click(findTestObject(""Object Repository/ADMIN/Page_Kelola Sesi  GetVaccine/input_Jam Mulai Sesi_operational_hour_start""))",Chrome 103.0.5060.114,,,2022-07-20 10:57:37,2022-07-20 10:57:37,0.541s,PASSED
"click(findTestObject(""Object Repository/ADMIN/Page_Kelola Sesi  GetVaccine/div_07""))",Chrome 103.0.5060.114,,,2022-07-20 10:57:37,2022-07-20 10:57:38,0.544s,PASSED
"click(findTestObject(""Object Repository/ADMIN/Page_Kelola Sesi  GetVaccine/button_OK""))",Chrome 103.0.5060.114,,,2022-07-20 10:57:38,2022-07-20 10:57:38,0.531s,PASSED
"click(findTestObject(""Object Repository/ADMIN/Page_Kelola Sesi  GetVaccine/input_Jam Selesai Sesi_operational_hour_end""))",Chrome 103.0.5060.114,,,2022-07-20 10:57:38,2022-07-20 10:57:39,0.708s,PASSED
"setText(findTestObject(""Object Repository/ADMIN/Page_Kelola Sesi  GetVaccine/input_Kuota_quota""), ""100"")",Chrome 103.0.5060.114,,,2022-07-20 10:57:39,2022-07-20 10:57:40,0.892s,PASSED
