Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_KELOLA VAKSIN,Chrome 103.0.5060.114,,,2022-07-20 11:47:54,2022-07-20 12:14:08,26m - 13.331s,FAILED
,,,,,,,
Test Cases/ADMIN/AUTH/Positif/TC_LoginPositif,Chrome 103.0.5060.114,,,2022-07-20 11:47:55,2022-07-20 11:49:48,1m - 53.222s,PASSED
"openBrowser(""https://dev-getvaccine-16.netlify.app/admin/"")",Chrome 103.0.5060.114,,,2022-07-20 11:47:56,2022-07-20 11:49:43,1m - 47.487s,PASSED
maximizeWindow(),Chrome 103.0.5060.114,,,2022-07-20 11:49:43,2022-07-20 11:49:44,0.334s,PASSED
"verifyElementPresent(findTestObject(""ADMIN/Adm-Login/verify login page""), 0)",Chrome 103.0.5060.114,,,2022-07-20 11:49:44,2022-07-20 11:49:44,0.707s,PASSED
"click(findTestObject(""ADMIN/Adm-Login/username""))",Chrome 103.0.5060.114,,,2022-07-20 11:49:44,2022-07-20 11:49:45,0.508s,PASSED
"setText(findTestObject(""ADMIN/Adm-Login/username""), ""harnanda"")",Chrome 103.0.5060.114,,,2022-07-20 11:49:45,2022-07-20 11:49:46,0.963s,PASSED
"click(findTestObject(""ADMIN/Adm-Login/password""))",Chrome 103.0.5060.114,,,2022-07-20 11:49:46,2022-07-20 11:49:46,0.478s,PASSED
"setText(findTestObject(""ADMIN/Adm-Login/password""), ""haha"")",Chrome 103.0.5060.114,,,2022-07-20 11:49:46,2022-07-20 11:49:47,0.866s,PASSED
"click(findTestObject(""ADMIN/Adm-Login/eye""))",Chrome 103.0.5060.114,,,2022-07-20 11:49:47,2022-07-20 11:49:48,0.470s,PASSED
"click(findTestObject(""ADMIN/Adm-Login/btn login""))",Chrome 103.0.5060.114,,,2022-07-20 11:49:48,2022-07-20 11:49:48,0.625s,PASSED
,,,,,,,
Test Cases/ADMIN/Kelola Vaksinasi/TCT01_Tambah Vaksin Vlid,Chrome 103.0.5060.114,,,2022-07-20 11:49:48,2022-07-20 11:54:03,4m - 14.402s,PASSED
"callTestCase(findTestCase(""ADMIN/AUTH/Positif/TC_LoginPositif""), [:], STOP_ON_FAILURE)",Chrome 103.0.5060.114,,,2022-07-20 11:49:49,2022-07-20 11:49:57,8.540s,PASSED
"click(findTestObject(""Object Repository/ADMIN/Page_Dashboard Admin  GetVaccine/a_Overview""))",Chrome 103.0.5060.114,,,2022-07-20 11:49:57,2022-07-20 11:50:00,2.723s,PASSED
"click(findTestObject(""Object Repository/ADMIN/Page_Dashboard Admin  GetVaccine/a_Kelola Vaksin""))",Chrome 103.0.5060.114,,,2022-07-20 11:50:00,2022-07-20 11:50:01,0.521s,PASSED
"click(findTestObject(""Object Repository/ADMIN/Page_Kelola Vaksin  GetVaccine/button_Tambah Data""))",Chrome 103.0.5060.114,,,2022-07-20 11:50:01,2022-07-20 11:50:31,30.324s,PASSED
"click(findTestObject(""Object Repository/ADMIN/Page_Kelola Vaksin  GetVaccine/div_Select Vaccine""))",Chrome 103.0.5060.114,,,2022-07-20 11:50:31,2022-07-20 11:51:01,30.332s,PASSED
"setText(findTestObject(""Object Repository/ADMIN/Page_Kelola Vaksin  GetVaccine/input_Jenis Vaksin_vaccine_id""), ""sinovac"")",Chrome 103.0.5060.114,,,2022-07-20 11:51:01,2022-07-20 11:52:02,1m - 0.403s,PASSED
