Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_ADMIN,Chrome 103.0.5060.114,,,2022-07-20 14:53:09,2022-07-20 15:22:12,29m - 2.804s,PASSED
,,,,,,,
Test Cases/ADMIN/AUTH/Positif/TC_LoginPositif,Chrome 103.0.5060.114,,,2022-07-20 14:53:10,2022-07-20 14:53:25,14.774s,PASSED
"openBrowser(""https://dev-getvaccine-16.netlify.app/admin/"")",Chrome 103.0.5060.114,,,2022-07-20 14:53:11,2022-07-20 14:53:20,9.181s,PASSED
maximizeWindow(),Chrome 103.0.5060.114,,,2022-07-20 14:53:20,2022-07-20 14:53:20,0.235s,PASSED
"verifyElementPresent(findTestObject(""ADMIN/Adm-Login/verify login page""), 0)",Chrome 103.0.5060.114,,,2022-07-20 14:53:20,2022-07-20 14:53:21,0.645s,PASSED
"click(findTestObject(""ADMIN/Adm-Login/username""))",Chrome 103.0.5060.114,,,2022-07-20 14:53:21,2022-07-20 14:53:21,0.670s,PASSED
"setText(findTestObject(""ADMIN/Adm-Login/username""), ""harnanda"")",Chrome 103.0.5060.114,,,2022-07-20 14:53:21,2022-07-20 14:53:22,0.914s,PASSED
"click(findTestObject(""ADMIN/Adm-Login/password""))",Chrome 103.0.5060.114,,,2022-07-20 14:53:22,2022-07-20 14:53:23,0.462s,PASSED
"setText(findTestObject(""ADMIN/Adm-Login/password""), ""haha"")",Chrome 103.0.5060.114,,,2022-07-20 14:53:23,2022-07-20 14:53:24,0.818s,PASSED
"click(findTestObject(""ADMIN/Adm-Login/eye""))",Chrome 103.0.5060.114,,,2022-07-20 14:53:24,2022-07-20 14:53:24,0.462s,PASSED
"click(findTestObject(""ADMIN/Adm-Login/btn login""))",Chrome 103.0.5060.114,,,2022-07-20 14:53:24,2022-07-20 14:53:25,0.628s,PASSED
,,,,,,,
Test Cases/ADMIN/OVERVIEW/TC_Search,Chrome 103.0.5060.114,,,2022-07-20 14:53:25,2022-07-20 14:53:36,10.887s,PASSED
"for ([i = 1, i <= 2, (i++)])",Chrome 103.0.5060.114,,,2022-07-20 14:53:26,2022-07-20 14:53:36,10.019s,PASSED
,,,,,,,
Test Cases/ADMIN/KELOLA SESI/Negatif/TCT01_Tambah Sesi Without fill one field,Chrome 103.0.5060.114,,,2022-07-20 14:53:36,2022-07-20 14:53:49,13.139s,PASSED
